SK_ID_CURR,PROB_DEFAULT,PREDIKSI,STATUS
100001,0.2911,0,LAYAK
100005,0.5368,0,LAYAK
100013,0.149,0,LAYAK
100028,0.363,0,LAYAK
100038,0.6881,1,TIDAK LAYAK
100042,0.3867,0,LAYAK
100057,0.1455,0,LAYAK
100065,0.3386,0,LAYAK
100066,0.1134,0,LAYAK
100067,0.5324,0,LAYAK
100074,0.4145,0,LAYAK
100090,0.3623,0,LAYAK
100091,0.7608,1,TIDAK LAYAK
100092,0.6647,0,LAYAK
100106,0.5219,0,LAYAK
100107,0.6064,0,LAYAK
100109,0.384,0,LAYAK
100117,0.2801,0,LAYAK
100128,0.5514,0,LAYAK
100141,0.0841,0,LAYAK
100150,0.2089,0,LAYAK
100168,0.0456,0,LAYAK
100169,0.3824,0,LAYAK
100170,0.5311,0,LAYAK
100171,0.4016,0,LAYAK
100172,0.6559,0,LAYAK
100184,0.4384,0,LAYAK
100187,0.4388,0,LAYAK
100212,0.3816,0,LAYAK
100222,0.422,0,LAYAK
100223,0.2084,0,LAYAK
100232,0.1447,0,LAYAK
100241,0.7107,1,TIDAK LAYAK
100245,0.1755,0,LAYAK
100253,0.2544,0,LAYAK
100256,0.5317,0,LAYAK
100271,0.0883,0,LAYAK
100278,0.7902,1,TIDAK LAYAK
100280,0.1141,0,LAYAK
100306,0.7436,1,TIDAK LAYAK
100311,0.643,0,LAYAK
100312,0.2345,0,LAYAK
100330,0.5193,0,LAYAK
100331,0.2223,0,LAYAK
100352,0.632,0,LAYAK
100358,0.3513,0,LAYAK
100367,0.2129,0,LAYAK
100382,0.7052,1,TIDAK LAYAK
100384,0.5029,0,LAYAK
100385,0.4887,0,LAYAK
100386,0.272,0,LAYAK
100399,0.1312,0,LAYAK
100404,0.4356,0,LAYAK
100416,0.1953,0,LAYAK
100422,0.5913,0,LAYAK
100426,0.2851,0,LAYAK
100438,0.256,0,LAYAK
100444,0.6227,0,LAYAK
100445,0.7591,1,TIDAK LAYAK
100446,0.653,0,LAYAK
100447,0.1118,0,LAYAK
100450,0.451,0,LAYAK
100466,0.1622,0,LAYAK
100483,0.1755,0,LAYAK
100484,0.0964,0,LAYAK
100494,0.468,0,LAYAK
100510,0.7067,1,TIDAK LAYAK
100512,0.0695,0,LAYAK
100517,0.2252,0,LAYAK
100548,0.2492,0,LAYAK
100551,0.2582,0,LAYAK
100552,0.4487,0,LAYAK
100553,0.199,0,LAYAK
100561,0.576,0,LAYAK
100568,0.9085,1,TIDAK LAYAK
100569,0.0973,0,LAYAK
100591,0.5156,0,LAYAK
100592,0.2033,0,LAYAK
100602,0.5142,0,LAYAK
100607,0.4068,0,LAYAK
100613,0.4167,0,LAYAK
100617,0.7066,1,TIDAK LAYAK
100618,0.574,0,LAYAK
100622,0.5678,0,LAYAK
100625,0.5384,0,LAYAK
100677,0.6261,0,LAYAK
100699,0.2085,0,LAYAK
100702,0.8461,1,TIDAK LAYAK
100711,0.5807,0,LAYAK
100729,0.681,1,TIDAK LAYAK
100740,0.795,1,TIDAK LAYAK
100744,0.7246,1,TIDAK LAYAK
100745,0.2868,0,LAYAK
100747,0.507,0,LAYAK
100751,0.8169,1,TIDAK LAYAK
100752,0.4566,0,LAYAK
100753,0.7795,1,TIDAK LAYAK
100754,0.7268,1,TIDAK LAYAK
100760,0.2677,0,LAYAK
100762,0.6058,0,LAYAK
100763,0.3582,0,LAYAK
100765,0.2012,0,LAYAK
100770,0.5246,0,LAYAK
100772,0.2374,0,LAYAK
100777,0.3469,0,LAYAK
100791,0.1501,0,LAYAK
100792,0.0788,0,LAYAK
100797,0.222,0,LAYAK
100823,0.2453,0,LAYAK
100826,0.247,0,LAYAK
100830,0.3133,0,LAYAK
100836,0.7597,1,TIDAK LAYAK
100872,0.4899,0,LAYAK
100910,0.4011,0,LAYAK
100913,0.6484,0,LAYAK
100918,0.3141,0,LAYAK
100931,0.054,0,LAYAK
100952,0.4274,0,LAYAK
100953,0.4421,0,LAYAK
100965,0.7176,1,TIDAK LAYAK
100970,0.2697,0,LAYAK
100982,0.6434,0,LAYAK
100983,0.7033,1,TIDAK LAYAK
100984,0.2916,0,LAYAK
100987,0.3458,0,LAYAK
100997,0.2968,0,LAYAK
100998,0.5544,0,LAYAK
101002,0.467,0,LAYAK
101005,0.6711,0,LAYAK
101008,0.8451,1,TIDAK LAYAK
101020,0.4934,0,LAYAK
101021,0.121,0,LAYAK
101024,0.3427,0,LAYAK
101025,0.7407,1,TIDAK LAYAK
101026,0.3945,0,LAYAK
101031,0.225,0,LAYAK
101041,0.1873,0,LAYAK
101051,0.0519,0,LAYAK
101055,0.5204,0,LAYAK
101056,0.8266,1,TIDAK LAYAK
101057,0.2978,0,LAYAK
101064,0.2106,0,LAYAK
101079,0.6747,0,LAYAK
101087,0.1508,0,LAYAK
101090,0.2407,0,LAYAK
101092,0.5421,0,LAYAK
101097,0.5918,0,LAYAK
101099,0.2619,0,LAYAK
101107,0.503,0,LAYAK
101118,0.4448,0,LAYAK
101125,0.565,0,LAYAK
101126,0.2677,0,LAYAK
101128,0.0803,0,LAYAK
101136,0.3642,0,LAYAK
101140,0.8048,1,TIDAK LAYAK
101149,0.6271,0,LAYAK
101160,0.5311,0,LAYAK
101169,0.6691,0,LAYAK
101181,0.2629,0,LAYAK
101186,0.1477,0,LAYAK
101190,0.3789,0,LAYAK
101193,0.4393,0,LAYAK
101194,0.5516,0,LAYAK
101198,0.7337,1,TIDAK LAYAK
101200,0.2958,0,LAYAK
101204,0.1847,0,LAYAK
101211,0.3076,0,LAYAK
101213,0.468,0,LAYAK
101223,0.5547,0,LAYAK
101225,0.5247,0,LAYAK
101237,0.4711,0,LAYAK
101243,0.3462,0,LAYAK
101244,0.5754,0,LAYAK
101258,0.2833,0,LAYAK
101259,0.757,1,TIDAK LAYAK
101268,0.5897,0,LAYAK
101269,0.1935,0,LAYAK
101271,0.5558,0,LAYAK
101279,0.4017,0,LAYAK
101281,0.4235,0,LAYAK
101287,0.1594,0,LAYAK
101292,0.2071,0,LAYAK
101294,0.2764,0,LAYAK
101296,0.393,0,LAYAK
101297,0.1413,0,LAYAK
101299,0.4439,0,LAYAK
101301,0.1887,0,LAYAK
101305,0.5535,0,LAYAK
101308,0.5891,0,LAYAK
101318,0.1759,0,LAYAK
101327,0.8261,1,TIDAK LAYAK
101329,0.1696,0,LAYAK
101332,0.2911,0,LAYAK
101337,0.4869,0,LAYAK
101343,0.177,0,LAYAK
101345,0.2161,0,LAYAK
101346,0.2281,0,LAYAK
101353,0.2365,0,LAYAK
101354,0.6802,1,TIDAK LAYAK
101355,0.6818,1,TIDAK LAYAK
101356,0.2345,0,LAYAK
101362,0.4003,0,LAYAK
101363,0.8032,1,TIDAK LAYAK
101365,0.1981,0,LAYAK
101366,0.4635,0,LAYAK
101367,0.7,1,TIDAK LAYAK
101368,0.1803,0,LAYAK
101374,0.5439,0,LAYAK
101380,0.1038,0,LAYAK
101383,0.2437,0,LAYAK
101398,0.1652,0,LAYAK
101399,0.6988,1,TIDAK LAYAK
101401,0.7678,1,TIDAK LAYAK
101412,0.1453,0,LAYAK
101426,0.5138,0,LAYAK
101427,0.8083,1,TIDAK LAYAK
101428,0.6819,1,TIDAK LAYAK
101429,0.7477,1,TIDAK LAYAK
101434,0.349,0,LAYAK
101440,0.6118,0,LAYAK
101448,0.4825,0,LAYAK
101449,0.6108,0,LAYAK
101465,0.1807,0,LAYAK
101467,0.1172,0,LAYAK
101472,0.5243,0,LAYAK
101478,0.6272,0,LAYAK
101497,0.3756,0,LAYAK
101504,0.5444,0,LAYAK
101547,0.1828,0,LAYAK
101548,0.6072,0,LAYAK
101555,0.5445,0,LAYAK
101570,0.2197,0,LAYAK
101572,0.4893,0,LAYAK
101578,0.3067,0,LAYAK
101580,0.6694,0,LAYAK
101588,0.6641,0,LAYAK
101602,0.2604,0,LAYAK
101610,0.4161,0,LAYAK
101614,0.2526,0,LAYAK
101616,0.2374,0,LAYAK
101643,0.6029,0,LAYAK
101644,0.2192,0,LAYAK
101649,0.415,0,LAYAK
101650,0.6483,0,LAYAK
101665,0.1731,0,LAYAK
101667,0.4156,0,LAYAK
101669,0.3398,0,LAYAK
101674,0.5506,0,LAYAK
101675,0.1211,0,LAYAK
101678,0.5067,0,LAYAK
101682,0.2024,0,LAYAK
101686,0.404,0,LAYAK
101697,0.5459,0,LAYAK
101700,0.8532,1,TIDAK LAYAK
101711,0.2041,0,LAYAK
101714,0.2924,0,LAYAK
101715,0.8263,1,TIDAK LAYAK
101728,0.2261,0,LAYAK
101732,0.6267,0,LAYAK
101757,0.6558,0,LAYAK
101758,0.3013,0,LAYAK
101759,0.5096,0,LAYAK
101762,0.1061,0,LAYAK
101764,0.6419,0,LAYAK
101780,0.8525,1,TIDAK LAYAK
101784,0.1887,0,LAYAK
101789,0.1973,0,LAYAK
101816,0.4935,0,LAYAK
101819,0.2138,0,LAYAK
101827,0.113,0,LAYAK
101863,0.4612,0,LAYAK
101867,0.42,0,LAYAK
101870,0.1065,0,LAYAK
101873,0.8188,1,TIDAK LAYAK
101878,0.5731,0,LAYAK
101879,0.2906,0,LAYAK
101880,0.22,0,LAYAK
101887,0.3797,0,LAYAK
101897,0.3215,0,LAYAK
101901,0.6338,0,LAYAK
101903,0.7079,1,TIDAK LAYAK
